Sample time,Sample number,Sample type,Arsenic Dissolved [Lab: 1] [VMV: 107942],Status(0),Unit code(0),Value modifier code(0),Carbon Dissolved Organic [Lab: -54] [VMV: 1067],Status(1),Unit code(1),Value modifier code(1),Mercury Dissolved [Lab: -54] [VMV: 108152],Status(2),Unit code(2),Value modifier code(2),Nitrogen Total Dissolved [Lab: -54] [VMV: 107191],Status(3),Unit code(3),Value modifier code(3),Oxygen Dissolved [Lab: 80] [VMV: 1124],Status(4),Unit code(4),Value modifier code(4),Oxygen Dissolved [Lab: -54] [VMV: 1124],Status(5),Unit code(5),Value modifier code(5),pH [Lab: -54] [VMV: 1075],Status(6),Unit code(6),Value modifier code(6),pH [Lab: -54] [VMV: 1111],Status(7),Unit code(7),Value modifier code(7),Phosphorus Total Dissolved [Lab: -54] [VMV: 15102],Status(8),Unit code(8),Value modifier code(8),Phosphorus Total Dissolved [Lab: -54] [VMV: 108160],Status(9),Unit code(9),Value modifier code(9),Salinity [Lab: -54] [VMV: 108946],Status(10),Unit code(10),Value modifier code(10),Salinity [Lab: -54] [VMV: 1318],Status(11),Unit code(11),Value modifier code(11),Specific Conductance [Lab: -54] [VMV: 2041],Status(12),Unit code(12),Value modifier code(12),Specific Conductance [Lab: -54] [VMV: 1126],Status(13),Unit code(13),Value modifier code(13),Temperature Water [Lab: 80] [VMV: 1125],Status(14),Unit code(14),Value modifier code(14),Temperature Water [Lab: -54] [VMV: 1125],Status(15),Unit code(15),Value modifier code(15)
2009-10-08 17:30:00,09PY001179,1,,,,,2.40000000,U,MG/L,,,,,,0.18000000,U,MG/L,,10.00000000,U,MG/L,,,,,,7.90000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00400000,U,MG/L,,,,,,,,,,,,,,240.00000000,U,USIE/CM,,250.00000000,U,USIE/CM,,12.00000000,U,DEG C,,,,,
2009-10-22 17:02:00,09PY001208,1,,,,,2.60000000,U,MG/L,,,,,,0.24000000,U,MG/L,,11.00000000,U,MG/L,,,,,,7.60000000,U,PH UNITS,,,,,,0.01100000,U,MG/L,,,,,,,,,,,,,,188.00000000,U,USIE/CM,,,,,,10.00000000,U,DEG C,,,,,
2009-11-08 13:15:00,09PY001278,1,,,,,3.40000000,U,MG/L,,,,,,0.27000000,U,MG/L,,,,,,,,,,7.30000000,U,PH UNITS,,7.50000000,U,PH UNITS,,0.00600000,U,MG/L,,,,,,,,,,,,,,89.00000000,U,USIE/CM,,89.00000000,U,USIE/CM,,7.10000000,U,DEG C,,,,,
2009-11-30 19:59:00,09PY001394,1,,,,,2.50000000,U,MG/L,,,,,,0.37000000,U,MG/L,,12.00000000,U,MG/L,,,,,,7.60000000,U,PH UNITS,,,,,,0.00500000,U,MG/L,,,,,,,,,,,,,,90.00000000,U,USIE/CM,,,,,,6.50000000,U,DEG C,,,,,
2009-12-21 16:00:00,10PY000028,1,,,,,2.90000000,U,MG/L,,,,,,0.24000000,U,MG/L,,,,,,,,,,7.70000000,U,PH UNITS,,5.60000000,U,PH UNITS,,0.01600000,U,MG/L,,,,,,,,,,,,,,115.00000000,U,USIE/CM,,110.00000000,U,USIE/CM,,4.30000000,U,DEG C,,,,,
2010-03-30 21:45:00,10PY005951,1,,,,,4.00000000,U,MG/L,,0.00002000,U,MG/L,L,0.38000000,U,MG/L,,,,,,,,,,7.81000000,U,PH UNITS,,7.50000000,U,PH UNITS,,0.00900000,U,MG/L,,0.00020000,U,MG/L,L,,,,,,,,,127.00000000,U,USIE/CM,,120.00000000,U,USIE/CM,,7.00000000,U,DEG C,,,,,
2010-04-15 22:15:00,10PY005983,1,,,,,3.60000000,U,MG/L,,0.00002000,U,MG/L,L,0.18000000,U,MG/L,,,,,,,,,,7.81000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00800000,U,MG/L,,0.00020000,U,MG/L,L,,,,,,,,,129.00000000,U,USIE/CM,,130.00000000,U,USIE/CM,,8.40000000,U,DEG C,,,,,
2010-05-10 19:46:00,10PY005537,1,,,,,3.80000000,U,MG/L,,,,,,0.24000000,U,MG/L,,11.00000000,U,MG/L,,,,,,7.80000000,U,PH UNITS,,7.70000000,U,PH UNITS,,0.00900000,U,MG/L,,,,,,,,,,,,,,113.00000000,U,USIE/CM,,130.00000000,U,USIE/CM,,10.40000000,U,DEG C,,,,,
2010-06-08 19:30:00,10PY005402,1,,,,,2.40000000,U,MG/L,,,,,,0.15000000,U,MG/L,,11.00000000,U,MG/L,,,,,,7.70000000,U,PH UNITS,,,,,,0.00400000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,92.00000000,U,USIE/CM,,,,,,13.50000000,U,DEG C,,,,,
2010-06-30 19:48:00,10PY005664,1,,,,,1.70000000,U,MG/L,,,,,,0.11000000,U,MG/L,,11.00000000,U,MG/L,,,,,,7.75000000,U,PH UNITS,,,,,,0.00500000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,87.00000000,U,USIE/CM,,,,,,15.10000000,U,DEG C,,,,,
2010-07-13 20:25:00,10PY005613,1,,,,,1.60000000,U,MG/L,,,,,,0.10000000,U,MG/L,,10.00000000,U,MG/L,,,,,,7.69000000,U,PH UNITS,,,,,,0.00200000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,85.00000000,U,USIE/CM,,,,,,16.80000000,U,DEG C,,,,,
2010-07-27 21:30:00,10PY006114,1,,,,,1.50000000,U,MG/L,,0.00002000,U,MG/L,L,0.10000000,U,MG/L,,,,,,,,,,7.74000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00600000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,91.00000000,U,USIE/CM,,92.00000000,U,USIE/CM,,22.80000000,U,DEG C,,,,,
2010-08-12 21:38:00,10PY005782,1,,,,,1.20000000,U,MG/L,,,,,,0.04000000,U,MG/L,,9.40000000,U,MG/L,,,,,,7.42000000,U,PH UNITS,,,,,,0.00300000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,87.00000000,U,USIE/CM,,,,,,19.00000000,U,DEG C,,,,,
2010-09-02 17:55:00,10PY005854,1,,,,,2.10000000,U,MG/L,,,,,,0.13000000,U,MG/L,,9.60000000,U,MG/L,,,,,,7.76000000,U,PH UNITS,,,,,,0.00700000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,106.00000000,U,USIE/CM,,,,,,16.00000000,U,DEG C,,,,,
2010-09-17 17:30:00,10PY006123,1,,,,,2.00000000,U,MG/L,,0.00002000,U,MG/L,L,0.22000000,U,MG/L,,,,,,,,,,7.88000000,U,PH UNITS,,,,,,0.00900000,U,MG/L,,,,,,0.06000000,U,RATIO,,,,,,137.00000000,U,USIE/CM,,,,,,16.00000000,U,DEG C,,,,,
2010-10-05 18:34:00,10PY006037,1,,,,,2.10000000,U,MG/L,,0.00002000,U,MG/L,L,0.25000000,U,MG/L,,,,,,,,,,7.82000000,U,PH UNITS,,,,,,0.00700000,U,MG/L,,0.00020000,U,MG/L,L,0.05000000,U,RATIO,,,,,,109.00000000,U,USIE/CM,,100.00000000,U,USIE/CM,,13.30000000,U,DEG C,,,,,
2010-10-21 19:50:00,10PY006084,1,,,,,1.90000000,U,MG/L,,0.00002000,U,MG/L,L,0.31000000,U,MG/L,,11.00000000,U,MG/L,,,,,,7.75000000,U,PH UNITS,,,,,,0.02600000,U,MG/L,,0.00020000,U,MG/L,L,0.06000000,U,RATIO,,,,,,124.00000000,U,USIE/CM,,,,,,12.00000000,U,DEG C,,,,,
2010-11-03 18:39:00,10PY006184,1,,,,,1.40000000,U,MG/L,,0.00002000,U,MG/L,L,0.30000000,U,MG/L,,11.00000000,U,MG/L,,,,,,7.62000000,U,PH UNITS,,,,,,0.01800000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,90.00000000,U,USIE/CM,,,,,,10.00000000,U,DEG C,,,,,
2010-12-09 15:38:00,11PY005036,1,,,,,2.10000000,U,MG/L,,0.00002000,U,MG/L,L,0.30000000,U,MG/L,,13.00000000,U,MG/L,,,,,,7.63000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00900000,U,MG/L,,,,,,0.14000000,U,RATIO,,,,,,283.00000000,U,USIE/CM,,290.00000000,U,USIE/CM,,4.00000000,U,DEG C,,,,,
2011-04-15 22:28:00,11PY005403,1,,,,,3.00000000,U,MG/L,,,,,,0.39000000,U,MG/L,,,,,,,,,,7.65000000,U,PH UNITS,,,,,,0.01300000,U,MG/L,,,,,,0.07000000,U,RATIO,,,,,,136.00000000,U,USIE/CM,,,,,,11.00000000,U,DEG C,,,,,
2011-05-04 21:38:00,11PY005439,1,0.47000000,U,UG/L,,7.40000000,U,MG/L,,,,,,0.33000000,U,MG/L,,12.00000000,U,MG/L,,,,,,7.50000000,U,PH UNITS,,7.60000000,U,PH UNITS,,0.00900000,U,MG/L,,,,,,0.06000000,U,RATIO,,,,,,118.00000000,U,USIE/CM,,120.00000000,U,USIE/CM,,8.50000000,U,DEG C,,,,,
2011-05-19 20:35:00,11PY005483,1,0.48000000,U,UG/L,,7.00000000,U,MG/L,,,,,,0.37000000,U,MG/L,,12.00000000,U,MG/L,,,,,,7.93000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00800000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,113.00000000,U,USIE/CM,,110.00000000,U,USIE/CM,,10.00000000,U,DEG C,,,,,
2011-05-31 23:35:00,11PY005587,1,0.48000000,U,UG/L,,6.00000000,U,MG/L,,,,,,0.28000000,U,MG/L,,12.00000000,U,MG/L,,,,,,7.84000000,U,PH UNITS,,7.60000000,U,PH UNITS,,0.00900000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,106.00000000,U,USIE/CM,,110.00000000,U,USIE/CM,,10.50000000,U,DEG C,,,,,
2011-06-14 08:00:00,11PY005623,1,0.43000000,U,UG/L,,5.10000000,U,MG/L,,,,,,0.28000000,U,MG/L,,12.00000000,U,MG/L,,,,,,7.87000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00500000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,100.00000000,U,USIE/CM,,96.00000000,U,USIE/CM,,13.00000000,U,DEG C,,,,,
2011-06-28 19:45:00,11PY005665,1,0.36000000,U,UG/L,,2.20000000,U,MG/L,,,,,,0.18000000,U,MG/L,,12.00000000,U,MG/L,,,,,,7.70000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00700000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,90.00000000,U,USIE/CM,,92.00000000,U,USIE/CM,,13.50000000,U,DEG C,,,,,
2011-07-19 20:00:00,11PY005778,1,0.35000000,U,UG/L,,5.20000000,U,MG/L,,,,,,0.20000000,U,MG/L,,11.00000000,U,MG/L,,,,,,7.75000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.00500000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,94.00000000,U,USIE/CM,,94.00000000,U,USIE/CM,,15.50000000,U,DEG C,,,,,
2011-08-04 19:45:00,11PY005830,1,0.37000000,U,UG/L,,5.20000000,U,MG/L,,,,,,0.14000000,U,MG/L,,,,,,,,,,7.74000000,U,PH UNITS,,,,,,0.00800000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,94.00000000,U,USIE/CM,,,,,,16.30000000,U,DEG C,,,,,
2011-08-30 19:22:00,11PY005945,1,0.36000000,U,UG/L,,2.30000000,U,MG/L,,,,,,0.18000000,U,MG/L,,,,,,,,,,7.72000000,U,PH UNITS,,,,,,0.00800000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,104.00000000,U,USIE/CM,,87.00000000,U,USIE/CM,,17.80000000,U,DEG C,,,,,
2011-09-15 21:40:00,11PY005964,1,0.36000000,U,UG/L,,2.10000000,U,MG/L,,,,,,0.17000000,U,MG/L,,,,,,,,,,7.85000000,U,PH UNITS,,,,,,0.01300000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,107.00000000,U,USIE/CM,,,,,,17.80000000,U,DEG C,,,,,
2011-09-29 18:49:00,11PY006055,1,0.36000000,U,UG/L,,2.10000000,U,MG/L,,,,,,0.19000000,U,MG/L,,,,,,,,,,7.68000000,U,PH UNITS,,7.80000000,U,PH UNITS,,0.04700000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,99.00000000,U,USIE/CM,,100.00000000,U,USIE/CM,,13.50000000,U,DEG C,,,,,
2011-10-20 17:52:00,12PY005205,1,0.28000000,U,UG/L,,2.28000000,U,MG/L,,,,,,0.19000000,U,MG/L,,,,,,,,,,7.65000000,U,PH UNITS,,,,,,0.03000000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,104.00000000,U,USIE/CM,,115.00000000,U,USIE/CM,,10.10000000,U,DEG C,,,,,
2011-11-09 20:34:00,12PY005083,1,0.34000000,U,UG/L,,2.79000000,U,MG/L,,,,,,0.35000000,U,MG/L,,,,,,,,,,7.83000000,U,PH UNITS,,,,,,0.03200000,U,MG/L,,,,,,0.11000000,U,RATIO,,,,,,242.00000000,U,USIE/CM,,230.00000000,U,USIE/CM,,7.10000000,U,DEG C,,,,,
2011-11-25 21:00:00,12PY005122,1,0.35000000,U,UG/L,,2.28000000,U,MG/L,,,,,,0.56600000,U,MG/L,,,,,,,,,,7.77000000,U,PH UNITS,,,,,,0.02200000,U,MG/L,,,,,,0.10000000,U,RATIO,,,,,,210.00000000,U,USIE/CM,,165.00000000,U,USIE/CM,,4.70000000,U,DEG C,,,,,
2012-04-13 23:16:00,12PY005472,1,0.44000000,U,UG/L,,2.91000000,U,MG/L,,,,,,0.61700000,U,MG/L,,,,,,,,,,7.76000000,U,PH UNITS,,,,,,0.03400000,U,MG/L,,,,,,0.19000000,U,RATIO,,,,,,404.00000000,U,USIE/CM,,200.00000000,U,USIE/CM,,9.60000000,U,DEG C,,,,,
2012-04-27 21:40:00,13PY005381,1,,,,,5.40000000,U,MG/L,,,,,,0.43900000,U,MG/L,,,,,,12.00000000,U,MG/L,,7.80000000,U,PH UNITS,,,,,,0.01430000,U,MG/L,,,,,,0.04000000,U,RATIO,,0.04000000,U,PPT,,91.40000000,U,USIE/CM,,,,,,7.50000000,U,DEG C,,,,,
2012-05-16 18:20:00,12PY005525,1,0.58000000,U,UG/L,,3.99000000,U,MG/L,,,,,,4.04000000,U,MG/L,,,,,,,,,,8.12000000,U,PH UNITS,,,,,,0.02370000,U,MG/L,,,,,,0.16000000,U,RATIO,,,,,,327.00000000,U,USIE/CM,,,,,,10.90000000,U,DEG C,,,,,
2012-06-06 19:00:00,12PY005560,1,,,,,4.16000000,U,MG/L,,,,,,0.30500000,U,MG/L,,,,,,,,,,7.82000000,U,PH UNITS,,,,,,0.00690000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,93.40000000,U,USIE/CM,,,,,,11.00000000,U,DEG C,,,,,
2012-06-21 20:07:00,12PY005663,1,0.38000000,U,UG/L,,3.47000000,U,MG/L,,,,,,0.29100000,U,MG/L,,,,,,,,,,7.73000000,U,PH UNITS,,,,,,0.00720000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,90.00000000,U,USIE/CM,,,,,,13.00000000,U,DEG C,,,,,
2012-07-13 20:40:00,13PY005385,1,0.31000000,U,UG/L,,2.41000000,U,MG/L,,,,,,0.20300000,U,MG/L,,,,,,10.50000000,U,MG/L,,7.80000000,U,PH UNITS,,,,,,0.00560000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,88.00000000,U,USIE/CM,,,,,,16.50000000,U,DEG C,,,,,
2012-07-26 19:28:00,12PY005870,1,0.34000000,U,UG/L,,2.61000000,U,MG/L,,,,,,0.24100000,U,MG/L,,10.20000000,U,MG/L,,,,,,7.65000000,U,PH UNITS,,7.60000000,U,PH UNITS,,0.00520000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,89.30000000,U,USIE/CM,,96.00000000,U,USIE/CM,,17.70000000,U,DEG C,,,,,
2012-08-09 19:33:00,12PY006042,1,0.36000000,U,UG/L,,1.92000000,U,MG/L,,,,,,0.17500000,U,MG/L,,,,,,,,,,7.74000000,U,PH UNITS,,,,,,0.00560000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,94.50000000,U,USIE/CM,,,,,,18.30000000,U,DEG C,,,,,
2012-08-24 19:15:00,12PY005877,1,0.32000000,U,UG/L,,2.07000000,U,MG/L,,,,,,0.18300000,U,MG/L,,,,,,,,,,7.69000000,U,PH UNITS,,,,,,0.00770000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,93.90000000,U,USIE/CM,,,,,,18.50000000,U,DEG C,,,,,
2012-09-07 19:15:00,12PY005881,1,0.36000000,U,UG/L,,2.89000000,U,MG/L,,,,,,0.16800000,U,MG/L,,,,,,,,,,7.77000000,U,PH UNITS,,,,,,0.00700000,U,MG/L,,,,,,0.06000000,U,RATIO,,,,,,120.00000000,U,USIE/CM,,,,,,18.00000000,U,DEG C,,,,,
2012-09-19 19:50:00,12PY005912,1,0.33000000,U,UG/L,,2.05000000,U,MG/L,,,,,,0.19800000,U,MG/L,,,,,,,,,,7.66000000,U,PH UNITS,,,,,,0.00870000,U,MG/L,,,,,,0.10000000,U,RATIO,,,,,,212.00000000,U,USIE/CM,,,,,,16.50000000,U,DEG C,,,,,
2012-10-23 18:50:00,13PY005033,1,0.30000000,U,UG/L,,1.68000000,U,MG/L,,,,,,0.26700000,U,MG/L,,,,,,,,,,7.69000000,U,PH UNITS,,,,,,0.00760000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,93.60000000,U,USIE/CM,,,,,,9.30000000,U,DEG C,,,,,
2012-11-22 18:35:00,13PY005109,1,0.26000000,U,UG/L,,3.23000000,U,MG/L,,,,,,0.44000000,U,MG/L,,,,,,,,,,7.59000000,U,PH UNITS,,,,,,0.01730000,U,MG/L,,,,,,0.03000000,U,RATIO,,,,,,75.50000000,U,USIE/CM,,,,,,6.90000000,U,DEG C,,,,,
2012-12-05 16:20:00,13PY005138,1,0.27000000,U,UG/L,,3.98000000,U,MG/L,,,,,,0.32100000,U,MG/L,,,,,,,,,,7.59000000,U,PH UNITS,,,,,,0.00970000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,84.70000000,U,USIE/CM,,,,,,6.00000000,U,DEG C,,,,,
2013-02-28 22:50:00,13PY005358,1,0.39000000,U,UG/L,,2.50000000,U,MG/L,,,,,,0.53700000,U,MG/L,,,,,,,,,,7.86000000,U,PH UNITS,,,,,,0.02030000,U,MG/L,,,,,,0.11000000,U,RATIO,,,,,,237.00000000,U,USIE/CM,,,,,,4.00000000,U,DEG C,,,,,
2013-04-12 21:10:00,13PY005472,1,0.40000000,U,UG/L,,4.68000000,U,MG/L,,,,,,0.38100000,U,MG/L,,,,,,,,,,7.91000000,U,PH UNITS,,,,,,0.01910000,U,MG/L,,,,,,0.08000000,U,RATIO,,,,,,159.00000000,U,USIE/CM,,,,,,6.00000000,U,DEG C,,,,,
2013-05-03 19:30:00,13PY005579,1,0.47000000,U,UG/L,,7.18000000,U,MG/L,,,,,,0.42900000,U,MG/L,,,,,,12.70000000,U,MG/L,,7.76000000,U,PH UNITS,,,,,,0.04710000,U,MG/L,,,,,,0.05000000,U,RATIO,,,,,,98.50000000,U,USIE/CM,,,,,,7.50000000,U,DEG C,,,,,
2013-05-17 19:00:00,13PY005613,1,0.43000000,U,UG/L,,4.42000000,U,MG/L,,,,,,0.36000000,U,MG/L,,,,,,,,,,7.79000000,U,PH UNITS,,,,,,0.02070000,U,MG/L,,,,,,0.04000000,U,RATIO,,,,,,95.10000000,U,USIE/CM,,,,,,11.00000000,U,DEG C,,,,,
